"2025/11/09 01:15 UTC","GLOSSARY","CDSX","MAP_127246_CIBCMellon_CDS_PTM_Processing","","","#||"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","Account - Maintain Accounts","This function is required to maintain, move and inquire on the CIBC Mellon GSS Ledger to support trade settlement or to ensure deposit and withdrawal transactions have been appropriately posted at CDSX.","","000"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","Inquire Accounts","This function is required to maintain, move and inquire on the CIBC Mellon GSS Ledger to support trade settlement or to ensure deposit and withdrawal transactions have been appropriately posted at CDSX.","","000"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","Inquire Ledger Balances","This function is required to maintain, move and inquire on the CIBC Mellon GSS Ledger to support trade settlement or to ensure deposit and withdrawal transactions have been appropriately posted at CDSX.","","000"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","Inquire Alerts","This function allows the user to view any subscribed alerts sent by the CDSX system through the CDSX GUI or by email sent from CDSX.","","000"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","CA Dashboards","The Corporate Action (CA) Dashboard provides updates in the events created through a Graphical Representation. The CA Dashboards provides event details at multiple levels using Pie charts. This is one of the functions used by the user to inquire on CA Events posted within the CDS Entitlements Menu which may affect trade settlement.","","000"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","Inquire Entitlements","This is one of the functions used by the user to inquire on CA Events posted within the CDS Entitlements Menu which may affect trade settlement. Users can perform a Blank search or provide Event Type, Payment Status, Event ID, Base Security ID, Due Bill Indicator, Record Date From, Record Date To, Option Payment Date From, Option Payment Date To, Due Bill Redemption From and Due Bill Redemption To.","","000"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","Enter Funds Transfer","Glossary description not available. Value is considered to be self-explanatory.","","000"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","Inquire Funds Deposit","This funds is to set up CDS funds deposits","","000"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","Inquire Cross Border Deliveries","Access to inquire on International Deliveries (trades via the international hub).","","000"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","Manage Cross Border Deliveries","Access to perform International Deliveries (trades via the international hub).","","000"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","Enter Account Movement","This function is required to process deposits and withdrawals within CDSX. Account movement is used to transfer the balance between two accounts of the same ledger or between accounts of different ledgers under the same company.","","000"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","Inquire Deposit","This function allows user to query on deposits within CDSX.","","000"
"MAP_127246_CIBCMellon_CDS_PTM_Processing","ApplicationRole","Inquire Withdrawal","This function allows user to query on withdrawals within CDSX.","","000"
